Timestamp,Enter your age,Enter your educational qualification:,Enter your gender,Enter your region,Enter the state you live in (in India):,Enter your mother tongue,Enter the languages you know,Enter your religion,Enter your occupation,Enter your annual income,"Based on the above ad, how much do you feel the use of language in the ad is similar to your use of language (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)"
11/22/2020 14:02:39,51,Graduate,Male,City (Urban),Maharashtra,Hindi ,English Hindi ,Hinduism ,Govt service ,Greater than 40 Lakhs,Similar,Similar,Similar,Highly similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 14:02:52,48,Post graduate/above,Male,City (Urban),Telengana,Hindi,"Hindi, English",,,Prefer not to say,Similar,Similar,Similar,Similar,Similar,,,,,
11/22/2020 14:09:11,50,Graduate,Male,City (Urban),Telengana,Telugu,"Hindi, English, Telugu",Hindu,Marketing,Greater than 40 Lakhs,Not similar,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Not similar,Not similar,Similar
11/22/2020 14:11:35,58,Graduate,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"English, hindi, marathi",Hindu,Engineering manager,10 Lakhs - 20 Lakhs,Not similar,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Similar,Similar,Highly similar,Similar
11/22/2020 14:46:23,30,Graduate,Male,City (Urban),Telengana,Telugu,"Tamil, English, hindi",Hindu,Assistant audit officer,5 Lakhs - 10 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,,,
11/22/2020 15:02:01,48,Post graduate/above,Female,City (Urban),Andhra Pradesh,Telugu,"English , Telugu and hindi",,Teacher,Prefer not to say,Similar,Similar,Similar,Similar,Similar,Similar,Highly Similar,Highly similar,Similar,Highly similar
11/22/2020 15:07:16,19,Graduate,Male,City (Urban),Tamil Nadu,Telugu,Tamil Telugu English,Hindu,Student,20 Lakhs - 40 Lakhs,Similar,Highly similar,,,,Not similar,Highly Similar,,,
11/22/2020 15:17:47,58,Graduate,Male,City (Urban),,Hindi,"Hindi, English",Hinduism,Service,Greater than 40 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 15:25:07,26,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi english marathi,,Service ,10 Lakhs - 20 Lakhs,Highly similar,Similar,Similar,Similar,Similar,Similar,Similar,Not similar,Similar,Similar
11/22/2020 15:35:46,52,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, english, hindi",Hindu,Engineer ,20 Lakhs - 40 Lakhs,Not similar,Not similar,Not similar,Not similar,Similar,Similar,Similar,,,
11/22/2020 15:49:52,57,Post graduate/above,Male,City (Urban),Kerala,Malayalam,"Malayalam, Tamil and English",Hindu,Service,Prefer not to say,Similar,Similar,,,,,,Highly similar,Highly similar,Highly similar
11/22/2020 16:38:38,53,Post graduate/above,Male,City (Urban),,Punjabi,English /Hindi ,,,10 Lakhs - 20 Lakhs,Highly similar,Highly similar,Highly similar,Similar,Similar,Similar,Similar,Not similar,Not similar,Highly similar
11/22/2020 17:37:29,17,Graduate,Male,Town (Sub-urban),Andhra Pradesh,Telugu,English,,,Prefer not to say,Highly similar,Similar,,Not similar,Not Similar,,,,,
11/22/2020 17:44:30,53,Post graduate/above,Male,City (Urban),Andhra Pradesh,Telugu ,"English, Hindi, ",Hindu ,PSU officer ,Greater than 40 Lakhs,Similar,Similar,Highly similar,Highly similar,Highly similar,,Highly Similar,Similar,Highly similar,Similar
11/22/2020 17:50:30,19,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,English,Hindu,Student,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 18:08:13,24,Graduate,Female,City (Urban),Uttar Pradesh,Hindi,"Hindi, English",,,Prefer not to say,Not similar,Similar,Highly similar,Highly similar,Similar,,,,,
11/22/2020 18:26:35,54,Post graduate/above,Female,City (Urban),Andhra Pradesh,Telugu,"English, Hindi, Tamil, Kannada apart from mother tongue Telugu",Hindu,,5 Lakhs - 10 Lakhs,Similar,Similar,Similar,Highly similar,Highly similar,Highly similar,Similar,Similar,Similar,Similar
11/22/2020 18:39:40,46,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, Hindi, English ",Hindu,Service,20 Lakhs - 40 Lakhs,Highly similar,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Similar,Similar,Similar
11/22/2020 18:42:41,25,Graduate,Male,Town (Sub-urban),Andhra Pradesh,Telugu,"English, Tamil, Hindi",,,Less than 5 Lakhs,Similar,Similar,Similar,Similar,Similar,Highly similar,Highly Similar,Similar,Similar,Similar
11/22/2020 19:12:24,55,Post graduate/above,Male,City (Urban),Telengana,Telugu,English Hindi Tamil,,,Prefer not to say,Similar,Highly similar,Similar,Similar,Similar,Similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 19:35:34,62,Post graduate/above,Male,City (Urban),Telengana,Telugu,"Telugu, English",Hindu,"Retired from service, now Freelancer",5 Lakhs - 10 Lakhs,Similar,Highly similar,Similar,Highly similar,Similar,Highly similar,Similar,Similar,Similar,Similar
11/22/2020 19:38:54,24,Graduate,Male,City (Urban),Telengana,Telugu ,Hindi Telugu English ,Hindu ,Digital marketer ,Less than 5 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Similar,,,
11/22/2020 20:03:28,19,Higher Secondary,Male,City (Urban),Harayana,Hindi,"Hindi, English",Hindu,Undergraduate Student,Prefer not to say,Similar,Highly similar,Not similar,Highly similar,Similar,,,,,
11/22/2020 20:13:53,19,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,English,Hindu,,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 20:18:44,19,Higher Secondary,Male,City (Urban),Maharashtra,Hindi,Hindi English,Agnostic,Student,Less than 5 Lakhs,Not similar,Similar,Highly similar,Highly similar,Similar,,,,,
11/22/2020 20:28:22,19,Higher Secondary,Male,City (Urban),Uttar Pradesh,Bengali,"English, Hindi, Bengali, Spanish",Humanity,Student,Less than 5 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Not Similar,Similar,Not Similar,Not similar,,
11/22/2020 20:28:51,32,Post graduate/above,Male,City (Urban),Uttar Pradesh,Hindi,"Hindi, English, Punjabi",Hindu,Product Manager,20 Lakhs - 40 Lakhs,Similar,Highly similar,Similar,Highly similar,Not Similar,,,,,
11/22/2020 20:33:02,18,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,"Hindi, English, Punjabi",Hindu,Student,Less than 5 Lakhs,Highly similar,Highly similar,Similar,Similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 20:46:32,60,Post graduate/above,Male,City (Urban),Telengana,Telugu,"Telugu, English, Hindi, Tamil ",Hondu,Retired,5 Lakhs - 10 Lakhs,Similar,Similar,Similar,Highly similar,Similar,,Highly Similar,Similar,Similar,Similar
11/22/2020 20:58:58,69,Till Secondary(or below),Male,Village (Rural),Delhi,Suyash gae,Suyash gae,Secularism++,Pussy destroyer,Less than 5 Lakhs,Similar,Similar,Highly similar,Similar,Not Similar,,,,,
11/22/2020 21:02:40,19,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,"English, Hindi",Hindu,,Less than 5 Lakhs,Similar,Similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 21:05:34,40,Post graduate/above,Male,City (Urban),Telengana,Telugu,"Telugu, English, Hindi",,,Prefer not to say,Not similar,Not similar,Similar,Similar,Similar,Similar,Not Similar,,,
11/22/2020 21:07:38,57,Post graduate/above,Male,City (Urban),Andhra Pradesh,Telugu,"Telugu, English and Hindi",Hindu,Business,10 Lakhs - 20 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Similar,,,
11/22/2020 21:18:31,39,Post graduate/above,Female,City (Urban),Uttar Pradesh,Hindi,Hindi and English,Hindu,Teacher,Prefer not to say,Not similar,Similar,Similar,Highly similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 21:22:45,19,Graduate,Male,City (Urban),Uttar Pradesh,Hindi,"Hindi, English",Hindu,,Less than 5 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 21:28:40,19,Graduate,Male,City (Urban),Uttar Pradesh,Hindi,"English, Sanskrit",Hinduism,Engineering,Greater than 40 Lakhs,Not similar,Similar,Highly similar,Similar,Highly similar,,,,,
11/22/2020 21:59:58,32,Post graduate/above,Male,City (Urban),Gujarat,PUNJABI,"English, hindi, punjabi",sikh,Public servant,10 Lakhs - 20 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/22/2020 22:18:09,53,Graduate,Male,City (Urban),Maharashtra,Hindi,"Hindi, English and Marathi",Hindu,Service,20 Lakhs - 40 Lakhs,Similar,Similar,Similar,Similar,Similar,Similar,Not Similar,Not similar,Not similar,Similar
11/22/2020 22:20:10,52,Post graduate/above,Male,City (Urban),Maharashtra,Telugu,"Telugu, English, Hindi",Hindu,Service,10 Lakhs - 20 Lakhs,Not similar,Not similar,Similar,Similar,,Highly similar,Highly Similar,Similar,Similar,Highly similar
11/22/2020 22:26:15,38,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,English,Hindu,Doctor ,10 Lakhs - 20 Lakhs,Similar,Similar,Similar,Similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/22/2020 22:42:04,20,Graduate,Female,City (Urban),Telengana,Telugu ,Telugu English hindi ,Hindu ,Student,Prefer not to say,Not similar,Similar,Similar,Similar,Not Similar,Similar,Not Similar,,,
11/22/2020 22:47:41,47,Graduate,Female,City (Urban),Andhra Pradesh,Telugu,Hindi English tamil,Hindu,Self employed,5 Lakhs - 10 Lakhs,,,,,,,,,,
11/22/2020 22:49:18,66,Post graduate/above,Male,Town (Sub-urban),Uttar Pradesh,Hindi ,Hindi  &   English,Hindu,Doctor ,20 Lakhs - 40 Lakhs,Similar,Similar,Highly similar,Highly similar,Similar,,,,,
11/22/2020 23:03:58,36,Post graduate/above,Female,City (Urban),Uttar Pradesh,Hindi,"Hindi, English",Hinduism,Working professional,20 Lakhs - 40 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/23/2020 0:29:50,20,Higher Secondary,Female,City (Urban),Punjab,Punjabi ,"English, hindi, punjabi",,,Less than 5 Lakhs,Similar,Highly similar,Not similar,Similar,Not Similar,,,,,
11/23/2020 4:25:42,57,Post graduate/above,Male,City (Urban),Karnataka,Telugu,"Telugu, Hindi, English and Kannadam ",Hindu,Retired ,Prefer not to say,Not similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar,Similar
11/23/2020 5:05:31,23,Graduate,Male,City (Urban),Uttar Pradesh,Hindi,"English, Hindi",,Student,Less than 5 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Not Similar,,,,,
11/23/2020 5:28:24,52,Graduate,Male,City (Urban),Uttar Pradesh,Hindi ,"Hindi,English",Hindu,Business ,5 Lakhs - 10 Lakhs,Not similar,Similar,Not similar,Not similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/23/2020 7:47:48,44,Post graduate/above,Female,City (Urban),Rajashtan,Hindi,Hindi and English,Hindu,Business,10 Lakhs - 20 Lakhs,Similar,Highly similar,Highly similar,Highly similar,Similar,,,,,
11/23/2020 10:17:03,20,Higher Secondary,Female,City (Urban),West Bengal,Hindi,1. English  2. Hindi  3.Bengali,Jainism,Student,Prefer not to say,Similar,Highly similar,Similar,Not similar,Not Similar,,,,,
11/23/2020 12:22:03,59,Post graduate/above,Male,City (Urban),Maharashtra,Telugu ,Hindi English Marathi ,Hindu ,Senior Vice President in Private Bank ,Greater than 40 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Not Similar,Similar,Similar,Not similar,Not similar,Not similar
11/23/2020 14:49:49,58,Post graduate/above,Male,City (Urban),Harayana,Hindi,"Hindi, English are Punjabi ",Hindu,Finance Professional ,Greater than 40 Lakhs,Similar,Not similar,Similar,Similar,Similar,,,,,
11/23/2020 18:15:01,60,Post graduate/above,Male,City (Urban),Telengana,Telugu,"Telugu, English, Hindi, Tamil ",Hondu,Retired,5 Lakhs - 10 Lakhs,Similar,Similar,Similar,Highly similar,Similar,,Highly Similar,Similar,Similar,Similar
11/23/2020 20:31:54,55,Post graduate/above,Male,City (Urban),Uttar Pradesh,Hindi,"English, Hindi",Sanatan Hindu,Engineer / Manager,10 Lakhs - 20 Lakhs,Similar,Highly similar,Highly similar,Similar,Highly similar,,,,,
11/23/2020 20:41:57,57,Post graduate/above,Male,City (Urban),Karnataka,Tamil,"English, Hindi, Kannada, Telugu",,,10 Lakhs - 20 Lakhs,Similar,Similar,Highly similar,Not similar,Similar,Similar,Similar,,Similar,
11/23/2020 20:46:03,54,Post graduate/above,Male,City (Urban),Maharashtra,Marathi ,"Hindi, English ",Hindu,Service,20 Lakhs - 40 Lakhs,Highly similar,Similar,Highly similar,Similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/23/2020 20:50:15,54,Post graduate/above,Post graduate/above,City (Urban),Telengana,Kannada,"Hindi,Telugu,Tamil,english",Hindu,Engineering,10 Lakhs - 20 Lakhs,Similar,Not similar,Not similar,Similar,Similar,Similar,Highly Similar,,,
11/23/2020 20:54:56,55,Post graduate/above,Male,City (Urban),Karnataka,Kannada,English Hindi tamil,Hindu,Public service,10 Lakhs - 20 Lakhs,Not similar,Not similar,Not similar,,,,,,,
11/23/2020 21:04:25,54,Post graduate/above,Female,City (Urban),Telengana,Telugu,"English, Hindi",Hindu,,20 Lakhs - 40 Lakhs,Not similar,Highly similar,Not similar,Highly similar,Similar,Not similar,Similar,,,
11/23/2020 21:05:55,39,Post graduate/above,Male,City (Urban),Uttar Pradesh,Hindi,"English, Hindi",Agnostic ,Government Service,10 Lakhs - 20 Lakhs,Not similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/23/2020 21:11:41,56,Post graduate/above,Male,City (Urban),Maharashtra,Hindi,Hindi and English,Hindu,Govt. Service,Greater than 40 Lakhs,Not similar,Highly similar,Highly similar,Highly similar,Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/23/2020 21:18:10,47,Graduate,Female,City (Urban),Kerala,Malayalam,"English, Malayalam",Islam,Housewife,Prefer not to say,Not similar,Not similar,,,,,,Not similar,Similar,Highly similar
11/23/2020 21:20:14,57,Graduate,Female,City (Urban),Uttar Pradesh,Gujarati,Hindi English gujarati ,Hindu,,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/23/2020 21:20:51,33,Post graduate/above,Male,Town (Sub-urban),Kerala,Malayalam,"English, Malayalam",,,Prefer not to say,,Similar,,,,,,Highly similar,Highly similar,Not similar
11/23/2020 21:22:36,18,Higher Secondary,Male,Village (Rural),Kerala,Malayalam,"English, Malayalam",Hindu,,Prefer not to say,,Similar,,,,,,Similar,Highly similar,Not similar
11/23/2020 21:25:40,28,Post graduate/above,Female,City (Urban),Uttar Pradesh,Hindi,English,,,10 Lakhs - 20 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/23/2020 21:27:55,23,Graduate,Male,City (Urban),Kerala,Malayalam,"English, Malayalam",Islam,,Prefer not to say,Not similar,Similar,,,,,,Not similar,Similar,Highly similar
11/23/2020 21:55:41,36,Post graduate/above,Male,City (Urban),Uttar Pradesh,Hindi,"Hint, English",Hindu,Engineer,10 Lakhs - 20 Lakhs,Similar,Not similar,Similar,Highly similar,Not Similar,,,,,
11/23/2020 22:03:00,27,Graduate,Female,City (Urban),Kerala,Malayalam,"English, Malayalam",Islam,,Prefer not to say,Similar,Similar,,,,,,Not similar,Similar,Highly similar
11/23/2020 22:16:01,56,Post graduate/above,Female,City (Urban),Uttar Pradesh,Hlndi,Hindi and English,Hindu,House maker,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,
11/23/2020 22:57:59,57,Graduate,Female,City (Urban),Telengana,Telugu ,"Telugu, Hindi, English ",HINDU ,,Prefer not to say,,,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,,,
11/23/2020 23:00:09,57,Post graduate/above,Male,City (Urban),Karnataka,Odiya,"English, Hindi",Hindu,Service,20 Lakhs - 40 Lakhs,Similar,Not similar,Highly similar,Similar,Highly similar,Not similar,Not Similar,Similar,Not similar,Not similar
11/23/2020 23:14:32,56,Post graduate/above,Male,City (Urban),Rajashtan,Hindi,English,Hindu,"Technology, CTO",Prefer not to say,Not similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/24/2020 9:20:04,48,Graduate,Female,City (Urban),Uttar Pradesh,Hindi,Hindi,Hindu,Homemaker,Less than 5 Lakhs,,,Not similar,Highly similar,Not Similar,,,,,
11/24/2020 10:37:11,57,Graduate,Female,City (Urban),Uttar Pradesh,Hindi,English,Hindu,House wife,Less than 5 Lakhs,Similar,Highly similar,Not similar,Highly similar,Similar,Highly similar,Highly Similar,Highly similar,Highly similar,
11/24/2020 12:32:59,39,Post graduate/above,Male,City (Urban),Karnataka,telugu,"telugu,english,hindi",,,Prefer not to say,Similar,Not similar,Similar,Not similar,Not Similar,Highly similar,Highly Similar,Not similar,Not similar,Not similar
11/24/2020 18:46:47,35,Post graduate/above,Female,City (Urban),Harayana,Hindi,Hindi and English ,Hindu,Housewife ,Less than 5 Lakhs,Not similar,Not similar,Highly similar,Highly similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/24/2020 20:57:37,18,Higher Secondary,Male,Village (Rural),Andhra Pradesh,Telugu,"Telugu, hindi, English, tamil, kannada",HINDU,,Less than 5 Lakhs,Similar,Highly similar,Highly similar,Not similar,Highly similar,Highly similar,Highly Similar,Highly similar,Highly similar,Highly similar
11/25/2020 10:29:34,40,Graduate,Male,City (Urban),Uttar Pradesh,Hindi,English & Hindi,Hindu,Service,5 Lakhs - 10 Lakhs,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Not Similar,Not similar,Not similar,Not similar
11/25/2020 11:02:56,20,Graduate,Female,City (Urban),West Bengal,Hindi,"England, Hindi, Bengali",,Student,Prefer not to say,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/25/2020 11:10:50,21,Graduate,Female,City (Urban),West Bengal,Hindi, English Bengali Hindi marwari,Hinduism,,Prefer not to say,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly similar,Highly Similar,Highly similar,Highly similar,Highly similar
11/25/2020 13:15:09,19,Higher Secondary,Male,City (Urban),Maharashtra,Tamil,"Hindi, English, Tamil, Marathi",Hinduism,,Prefer not to say,Not similar,Similar,Highly similar,Highly similar,Not Similar,,,,,
11/25/2020 14:11:02,20,Higher Secondary,Female,City (Urban),West Bengal,Hindi,"English, Bengali, French",Jainism,,Prefer not to say,Highly similar,Highly similar,Highly similar,Highly similar,Similar,,,,,
11/25/2020 23:51:00,56,Post graduate/above,Male,City (Urban),Rajashtan,Hindi,English,Hindu,"Technology, CTO",Prefer not to say,Not similar,Highly similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
